iter	Passed	Remaining
164	4240	21458
165	4256	21384
166	4272	21310
167	4287	21234
168	4320	21242
169	4347	21227
170	4368	21176
171	4385	21111
172	4404	21057
173	4433	21048
174	4457	21014
175	4483	20990
176	4499	20920
177	4516	20855
178	4532	20790
179	4549	20726
180	4577	20712
181	4594	20648
182	4610	20584
183	4627	20523
184	4647	20475
185	4666	20420
186	4683	20362
187	4699	20299
188	4715	20235
189	4733	20181
190	4758	20153
191	4779	20111
192	4800	20072
193	4814	20003
194	4830	19942
195	4845	19877
196	4864	19826
197	4888	19800
198	4907	19753
199	4923	19692
200	4941	19641
201	4969	19630
202	5003	19644
203	5027	19617
204	5053	19598
205	5086	19604
206	5107	19565
207	5144	19589
208	5162	19540
209	5195	19545
210	5212	19491
211	5227	19431
212	5241	19364
213	5257	19309
214	5272	19250
215	5286	19187
216	5303	19137
217	5321	19088
218	5338	19036
219	5358	18999
220	5392	19009
221	5408	18954
222	5422	18892
223	5444	18860
224	5462	18815
225	5484	18784
226	5507	18753
227	5523	18703
228	5548	18680
229	5562	18621
230	5579	18574
231	5614	18587
232	5631	18539
233	5650	18495
234	5667	18450
235	5681	18393
236	5700	18353
237	5718	18309
238	5735	18262
239	5749	18207
240	5776	18191
241	5805	18184
242	5824	18145
243	5856	18147
244	5895	18166
245	5959	18264
246	6027	18375
247	6076	18425
248	6098	18393
249	6126	18379
250	6143	18332
251	6160	18286
252	6180	18249
253	6195	18196
254	6215	18159
255	6239	18133
256	6288	18179
257	6333	18215
258	6347	18160
259	6367	18123
260	6382	18070
261	6396	18018
262	6411	17967
263	6429	17925
264	6454	17903
265	6472	17860
266	6495	17830
267	6511	17784
268	6528	17739
269	6543	17691
270	6558	17643
271	6572	17592
272	6586	17540
273	6605	17501
274	6624	17465
275	6634	17403
276	6653	17366
277	6674	17334
278	6706	17330
279	6739	17331
280	6753	17280
281	6764	17223
282	6795	17217
283	6826	17209
284	6861	17214
285	6897	17219
286	6922	17198
287	6950	17183
288	6970	17148
289	6998	17133
290	7033	17136
291	7053	17101
292	7072	17066
293	7088	17022
294	7104	16979
295	7127	16951
296	7148	16920
297	7169	16888
298	7187	16850
299	7201	16803
300	7243	16820
301	7261	16782
302	7280	16746
303	7296	16705
304	7315	16670
305	7336	16638
306	7367	16631
307	7394	16612
308	7410	16571
309	7434	16546
310	7461	16530
311	7477	16488
312	7492	16446
313	7509	16405
314	7526	16367
315	7550	16344
316	7584	16341
317	7605	16310
318	7623	16273
319	7640	16235
320	7656	16196
321	7672	16154
322	7690	16119
323	7706	16078
324	7722	16039
325	7737	15997
326	7753	15957
327	7772	15924
328	7798	15904
329	7817	15871
330	7831	15828
331	7845	15785
332	7864	15752
333	7878	15709
334	7891	15664
335	7909	15630
336	7923	15588
337	7943	15558
338	7968	15536
339	8000	15531
340	8026	15512
341	8045	15479
342	8062	15442
343	8077	15403
344	8089	15358
345	8100	15311
346	8114	15271
347	8130	15232
348	8162	15226
349	8180	15191
350	8195	15153
351	8212	15118
352	8223	15073
353	8237	15031
354	8248	14986
355	8263	14949
356	8277	14909
357	8292	14871
358	8306	14831
359	8319	14790
360	8333	14751
361	8351	14719
362	8371	14691
363	8395	14668
364	8415	14640
365	8431	14605
366	8449	14573
367	8462	14534
368	8475	14493
369	8490	14456
370	8508	14425
371	8523	14388
372	8542	14359
373	8567	14340
374	8589	14316
375	8619	14304
376	8633	14266
377	8649	14232
378	8670	14207
379	8688	14176
380	8710	14152
381	8733	14128
382	8751	14098
383	8767	14064
384	8786	14034
385	8804	14004
386	8821	13972
387	8839	13942
388	8852	13904
389	8873	13878
390	8888	13843
391	8902	13808
392	8921	13780
393	8935	13743
394	8951	13709
395	8967	13676
396	8983	13645
397	8998	13610
398	9015	13580
399	9038	13557
400	9054	13525
401	9070	13493
402	9083	13455
403	9101	13426
404	9113	13389
405	9137	13368
406	9150	13332
407	9169	13304
408	9183	13270
409	9195	13231
410	9212	13202
411	9228	13170
412	9255	13155
413	9272	13124
414	9292	13098
415	9308	13067
416	9322	13034
417	9341	13006
418	9356	12974
419	9371	12941
420	9390	12914
421	9406	12883
422	9424	12855
423	9451	12840
424	9485	12833
425	9497	12796
426	9516	12769
427	9534	12743
428	9553	12715
429	9569	12684
430	9584	12653
431	9604	12627
432	9620	12597
433	9647	12582
434	9675	12567
435	9695	12542
436	9708	12507
437	9726	12479
438	9744	12452
439	9756	12417
440	9769	12383
441	9783	12351
442	9798	12320
443	9811	12286
444	9827	12256
445	9835	12217
446	9859	12197
447	9872	12164
448	9887	12133
449	9905	12106
450	9920	12076
451	9937	12047
452	9957	12023
453	9979	12001
454	9999	11977
455	10023	11957
456	10046	11936
457	10070	11917
458	10093	11897
459	10114	11873
460	10127	11841
461	10143	11811
462	10159	11783
463	10174	11753
464	10189	11723
465	10208	11698
466	10224	11669
467	10239	11640
468	10253	11609
469	10265	11575
470	10281	11547
471	10306	11528
472	10325	11503
473	10348	11484
474	10361	11452
475	10375	11421
476	10391	11393
477	10407	11365
478	10434	11349
479	10457	11328
480	10479	11307
481	10493	11277
482	10506	11246
483	10526	11222
484	10538	11190
485	10551	11159
486	10568	11132
487	10582	11102
488	10597	11074
489	10612	11045
490	10627	11017
491	10639	10985
492	10655	10957
493	10667	10926
494	10683	10899
495	10699	10871
496	10720	10850
497	10737	10823
498	10752	10795
499	10765	10765
500	10783	10740
501	10797	10711
502	10814	10685
503	10828	10656
504	10847	10633
505	10869	10611
506	10885	10585
507	10908	10564
508	10924	10538
509	10942	10513
510	10954	10482
511	10966	10452
512	10979	10423
513	10995	10396
514	11012	10371
515	11028	10344
516	11043	10317
517	11060	10291
518	11076	10265
519	11096	10243
520	11113	10217
521	11136	10197
522	11153	10172
523	11168	10144
524	11183	10117
525	11194	10087
526	11209	10060
527	11225	10034
528	11241	10008
529	11256	9981
530	11267	9951
531	11280	9923
532	11296	9897
533	11314	9873
534	11329	9847
535	11343	9819
536	11354	9789
537	11366	9761
538	11379	9732
539	11393	9705
540	11408	9679
541	11429	9658
542	11442	9630
543	11458	9604
544	11473	9578
545	11485	9550
546	11502	9525
547	11516	9499
548	11531	9473
549	11550	9450
550	11565	9424
551	11578	9396
552	11587	9366
553	11599	9338
554	11615	9313
555	11628	9285
556	11639	9257
557	11649	9228
558	11663	9201
559	11676	9174
560	11686	9144
561	11697	9116
562	11713	9092
563	11729	9067
564	11748	9044
565	11762	9019
566	11776	8993
567	11789	8966
568	11799	8938
569	11811	8910
570	11825	8884
571	11838	8857
572	11848	8829
573	11859	8802
574	11874	8776
575	11886	8750
576	11903	8726
577	11922	8704
578	11937	8679
579	11951	8654
580	11966	8630
581	11984	8607
582	11998	8581
583	12012	8556
584	12029	8533
585	12041	8507
586	12055	8482
587	12072	8459
588	12086	8434
589	12100	8408
590	12115	8384
591	12131	8361
592	12147	8337
593	12168	8317
594	12203	8306
595	12228	8289
596	12243	8264
597	12276	8253
598	12294	8230
599	12308	8205
600	12330	8186
601	12350	8165
602	12385	8154
603	12404	8133
604	12421	8109
605	12439	8087
606	12454	8063
607	12472	8041
608	12488	8017
609	12502	7993
610	12513	7967
611	12529	7943
612	12548	7921
613	12575	7905
614	12597	7886
615	12613	7862
616	12630	7840
617	12644	7815
618	12659	7792
619	12676	7769
620	12691	7745
621	12708	7723
622	12725	7700
623	12742	7678
624	12759	7655
625	12776	7632
626	12796	7612
627	12808	7587
628	12822	7562
629	12833	7537
630	12843	7510
631	12857	7486
632	12874	7464
633	12890	7441
634	12918	7425
635	12939	7405
636	12962	7386
637	12983	7366
638	12995	7341
639	13007	7316
640	13021	7292
641	13035	7268
642	13045	7243
643	13054	7216
644	13071	7194
645	13087	7171
646	13102	7148
647	13116	7125
648	13127	7099
649	13136	7073
650	13150	7049
651	13164	7026
652	13179	7003
653	13191	6979
654	13204	6955
655	13219	6932
656	13231	6907
657	13243	6883
658	13258	6860
659	13274	6838
660	13287	6814
661	13303	6792
662	13314	6767
663	13329	6745
664	13343	6721
665	13356	6698
666	13371	6675
667	13384	6652
668	13401	6630
669	13420	6610
670	13436	6587
671	13455	6567
672	13468	6544
673	13478	6519
674	13494	6497
675	13510	6475
676	13524	6452
677	13537	6429
678	13547	6404
679	13559	6380
680	13573	6358
681	13586	6335
682	13599	6311
683	13617	6291
684	13634	6270
685	13645	6245
686	13661	6224
687	13674	6201
688	13690	6179
689	13705	6157
690	13719	6134
691	13729	6111
692	13741	6087
693	13755	6065
694	13768	6042
695	13787	6022
696	13804	6001
697	13821	5979
698	13834	5957
699	13844	5933
700	13856	5910
701	13869	5887
702	13887	5866
703	13899	5844
704	13912	5821
705	13923	5798
706	13938	5776
707	13950	5753
708	13965	5731
709	13976	5708
710	13988	5685
711	13999	5662
712	14016	5642
713	14032	5620
714	14045	5598
715	14055	5575
716	14065	5551
717	14078	5529
718	14088	5506
719	14097	5482
720	14108	5459
721	14117	5435
722	14127	5412
723	14138	5389
724	14146	5366
725	14158	5343
726	14168	5320
727	14177	5297
728	14190	5275
729	14197	5251
730	14210	5229
731	14226	5208
732	14239	5186
733	14244	5162
734	14256	5140
735	14265	5117
736	14277	5095
737	14290	5073
738	14300	5050
739	14309	5027
740	14322	5006
741	14334	4984
742	14342	4961
743	14355	4939
744	14367	4917
745	14375	4894
746	14389	4873
747	14402	4852
748	14413	4830
749	14424	4808
750	14440	4787
751	14450	4765
752	14457	4742
753	14469	4720
754	14478	4698
755	14487	4675
756	14498	4654
757	14506	4631
758	14517	4609
759	14526	4587
760	14535	4565
761	14546	4543
762	14554	4520
763	14566	4499
764	14576	4477
765	14585	4455
766	14598	4434
767	14615	4415
768	14629	4394
769	14638	4372
770	14650	4351
771	14661	4330
772	14668	4307
773	14678	4286
774	14689	4264
775	14699	4243
776	14710	4221
777	14718	4199
778	14728	4178
779	14740	4157
780	14751	4136
781	14764	4115
782	14776	4095
783	14785	4073
784	14797	4052
785	14812	4032
786	14828	4013
787	14843	3993
788	14855	3972
789	14864	3951
790	14876	3930
791	14885	3909
792	14894	3888
793	14905	3867
794	14913	3845
795	14924	3824
796	14934	3803
797	14942	3782
798	14953	3761
799	14960	3740
800	14973	3719
801	14984	3699
802	14991	3677
803	15005	3658
804	15020	3638
805	15032	3618
806	15046	3598
807	15060	3578
808	15074	3558
809	15085	3538
810	15094	3517
811	15106	3497
812	15119	3477
813	15147	3461
814	15159	3441
815	15170	3420
816	15183	3401
817	15193	3380
818	15201	3359
819	15215	3340
820	15232	3321
821	15241	3300
822	15251	3280
823	15263	3260
824	15272	3239
825	15282	3219
826	15291	3198
827	15301	3178
828	15314	3158
829	15324	3138
830	15332	3118
831	15342	3098
832	15351	3077
833	15363	3057
834	15375	3038
835	15384	3017
836	15395	2998
837	15402	2977
838	15412	2957
839	15424	2937
840	15436	2918
841	15450	2899
842	15462	2879
843	15475	2860
844	15483	2840
845	15493	2820
846	15504	2800
847	15511	2780
848	15523	2760
849	15532	2740
850	15542	2721
851	15550	2701
852	15563	2682
853	15574	2662
854	15584	2643
855	15593	2623
856	15604	2603
857	15616	2584
858	15628	2565
859	15645	2546
860	15656	2527
861	15668	2508
862	15677	2488
863	15687	2469
864	15697	2449
865	15705	2430
866	15716	2410
867	15725	2391
868	15736	2372
869	15748	2353
870	15760	2334
871	15770	2314
872	15781	2295
873	15789	2276
874	15800	2257
875	15811	2238
876	15822	2219
877	15838	2200
878	15852	2182
879	15865	2163
880	15874	2144
881	15884	2125
882	15896	2106
883	15904	2087
884	15915	2068
885	15926	2049
886	15934	2030
887	15946	2011
888	15957	1992
889	15966	1973
890	15978	1954
891	15987	1935
892	15996	1916
893	16005	1897
894	16013	1878
895	16026	1860
896	16034	1841
897	16045	1822
898	16059	1804
899	16074	1786
900	16083	1767
901	16094	1748
902	16104	1729
903	16116	1711
904	16127	1692
905	16137	1674
906	16150	1655
907	16161	1637
908	16171	1618
909	16183	1600
910	16195	1582
911	16203	1563
912	16215	1545
913	16227	1526
914	16240	1508
915	16251	1490
916	16266	1472
917	16274	1453
918	16283	1435
919	16296	1417
920	16306	1398
921	16315	1380
922	16328	1362
923	16337	1343
924	16346	1325
925	16357	1307
926	16364	1288
927	16376	1270
928	16385	1252
929	16394	1233
930	16406	1215
931	16415	1197
932	16427	1179
933	16440	1161
934	16454	1143
935	16464	1125
936	16476	1107
937	16489	1089
938	16498	1071
939	16507	1053
940	16518	1035
941	16526	1017
942	16538	999
943	16548	981
944	16558	963
945	16569	945
946	16576	927
947	16587	909
948	16596	891
949	16604	873
950	16614	856
951	16625	838
952	16641	820
953	16654	803
954	16663	785
955	16672	767
956	16683	749
957	16691	731
958	16702	714
959	16714	696
960	16722	678
961	16734	661
962	16743	643
963	16751	625
964	16762	607
965	16769	590
966	16778	572
967	16787	554
968	16798	537
969	16808	519
970	16821	502
971	16836	484
972	16849	467
973	16859	450
974	16866	432
975	16878	415
976	16886	397
977	16897	380
978	16908	362
979	16916	345
980	16928	327
981	16935	310
982	16945	293
983	16956	275
984	16964	258
985	16971	240
986	16980	223
987	16991	206
988	17000	189
989	17010	171
990	17023	154
991	17031	137
992	17045	120
993	17060	102
994	17069	85
995	17078	68
996	17090	51
997	17099	34
998	17109	17
999	17121	0
